comment,author,num_likes,rate
역시 형은 망작 다룰때 가장 좋은거같아ㅋㅋㅋㅋㅋㅋ,김낙원,813,5.833562850952148
형 망작리뷰 본지 3초나 지났는데 또 언제 망작리뷰해?,치킨무,7,2.736417531967163
리뷰 너무 웃긴거 아니냐구 ㅠㅠ 진짜 웃기다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Jay Y,5,7.281505584716797
아니씨밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한국어가 대부분인데 작막이필요햌ㅋㅋㅋㅋㅋ,상식,3,6.062527656555176
클레멘타인 이라니 미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ우울했는데 벌써 미소짓고 있음ㅋㅋㅋㅋㅋㅋㅋ,Jay Y,151,7.248170375823975
심지어는 저 12억도 배려해줘서 적게 받은거 ㅋㅋ,쌍칼,10,2.8973169326782227
하하하하하하하핳하하하하하핳하ㅏ하하하하하핳,깔룰랭,3,2.264940023422241
스토리는 단순한데 연출이 우주 쓰레기급이죠 음악도 장면들이랑 너무 매치가 안되고 딸은 울기만하고  시걸형만 꿀달러 쪽쪽 빨았다죠  지무비님의 안타까운 시간과 노고에 대신 박수라도보내요 👏,서승우,11,3.239053249359131
저아쩌씨 하룡이형이 아니라 기주봉형이자넠ㅋㅋㅋ,이준영,111,7.359665870666504
뻑치킨ㅋㅋㅋㅋㅋㅋ,ᄒᄒ함바가져와,4,3.8112268447875977
앗아아...,훈덍,17,4.895602703094482
영상잘봤습니다 ㅋㅋ 근데 하룡이형이 아니라 주봉이형아닌가요?ㅋㅋ,viper diver,13,8.044733047485352
결국  그 영화  가 나오는것인가......,율곡yeeyee,32,5.251915454864502
형..일주일 동안 고생많으셨어요...근데 이 띵작을 차마 다시 볼 용기가 없어서  제 마음만 드리고 가겠습니다..ㅠㅠㅠ,모두하이,4,8.199654579162598
그리웠어... 망작 영화 리뷰할때 나오는 브금...,ᄆᄌᄀ,29,3.977341651916504
ㅋㅋ리뷰가 왜이렇게웃기야 ㅋㅋㅋ,마젠타도르,4,5.256420612335205
망작도 재밌게 만드는 그는 읽고싶지않은 책..,PH4NTOM KLG,143,6.153536319732666
암세포가 암걸려서 뒤졌다는 그 전설의 영화...,BRITIST the player,4699,1.4522165060043335
He is Korean No.1 Michinnum,"익명JTAP,탭",129,-1.0
